borough_x,block,lot,sale_price,zip_code,borough_y,yearbuilt,lotarea,bldgarea,resarea,comarea,unitsres,unitstotal,numfloors,latitude,longitude,landuse,bldgclass,building_age,dist_to_tacobell,dist_to_chipotle
4,9383,18,1230000,11416.0,QN,1920.0,2300.0,1600.0,1600.0,0.0,2.0,2.0,2.0,40.6883302,-73.8403919,1.0,B2,105.0,0.852727916762217,1.8431700547014687
4,9383,19,1192000,11416.0,QN,1920.0,2302.0,1600.0,1600.0,0.0,2.0,2.0,2.0,40.6882697,-73.8403632,1.0,B2,105.0,0.8563565807217947,1.8438840236950131
4,9383,22,1075000,11416.0,QN,1920.0,2667.0,1360.0,1360.0,0.0,2.0,2.0,2.0,40.6881324,-73.8402553,1.0,B2,105.0,0.8640395628027463,1.8435890857479973
4,9384,57,1005993,11416.0,QN,1920.0,2000.0,2296.0,2296.0,0.0,2.0,2.0,2.0,40.6900128,-73.8404888,1.0,B1,105.0,0.7428948027959662,1.7943073715845166
4,9390,17,1050000,11416.0,QN,1910.0,2521.0,2088.0,2088.0,0.0,2.0,2.0,2.0,40.6888311,-73.8374663,1.0,B2,115.0,0.7619302707804642,1.6926995330615409
4,9393,19,849000,11419.0,QN,1920.0,5000.0,942.0,942.0,0.0,2.0,2.0,2.5,40.6908568,-73.8355827,1.0,B3,105.0,0.6468390113683178,1.5381634196834382
4,9394,35,998000,11419.0,QN,1930.0,2521.0,1548.0,1548.0,0.0,2.0,2.0,2.0,40.6898123,-73.8364759,1.0,B3,95.0,0.7144954384824541,1.6138495748590393
4,9401,34,800000,11419.0,QN,1925.0,3690.0,1536.0,1536.0,0.0,2.0,2.0,2.0,40.6917165,-73.8303122,1.0,B3,100.0,0.44135091867430254,1.2682083800109114
4,9404,48,720000,11416.0,QN,2003.0,3386.0,2496.0,2496.0,0.0,2.0,2.0,2.0,40.6866181,-73.8409008,1.0,B3,22.0,0.9522703579521602,1.9259946842856615
4,9405,2,790000,11416.0,QN,1910.0,2000.0,2000.0,2000.0,0.0,2.0,2.0,2.0,40.687537,-73.8404695,1.0,B2,115.0,0.9067281209052788,1.8738582790232274
4,9405,24,585494,11416.0,QN,1910.0,1650.0,1215.0,1215.0,0.0,2.0,2.0,2.0,40.6867206,-73.8396024,1.0,B3,115.0,0.8838695981143535,1.8645387742333608
4,9406,3,450000,11416.0,QN,1910.0,2667.0,2224.0,2224.0,0.0,2.0,2.0,2.0,40.6877993,-73.8395494,1.0,B2,115.0,0.873006319807139,1.8230674225458612
4,9406,40,600000,11416.0,QN,1935.0,2650.0,2000.0,2000.0,0.0,2.0,2.0,2.0,40.6868791,-73.839054,1.0,B1,90.0,0.8538103133565123,1.8344062473655176
4,9413,15,500000,11419.0,QN,1920.0,2500.0,2172.0,2172.0,0.0,2.0,2.0,2.0,40.6900599,-73.833028,1.0,B2,105.0,0.5380885426858976,1.4496259740131268
4,9416,13,615000,11419.0,QN,1910.0,1857.0,1483.0,1483.0,0.0,2.0,2.0,2.0,40.6908962,-73.8305559,1.0,B2,115.0,0.4288249431602323,1.309240694832029
4,9417,63,750000,11419.0,QN,1920.0,2785.0,1708.0,1708.0,0.0,2.0,2.0,2.0,40.6898488,-73.8294623,1.0,B3,105.0,0.35211218370770897,1.3039779948405492
4,9420,24,600000,11416.0,QN,1925.0,3500.0,1592.0,1592.0,0.0,2.0,2.0,2.0,40.6846675,-73.8395605,1.0,B2,100.0,0.913918468326343,1.8583267389628715
4,9420,24,1170000,11416.0,QN,1925.0,3500.0,1592.0,1592.0,0.0,2.0,2.0,2.0,40.6846675,-73.8395605,1.0,B2,100.0,0.913918468326343,1.8583267389628715
4,9421,50,998000,11416.0,QN,1925.0,5000.0,1814.0,1814.0,0.0,2.0,2.0,2.0,40.6848068,-73.8390518,1.0,B3,100.0,0.8855741395633759,1.8720901683603257
4,9422,38,780000,11416.0,QN,1920.0,1467.0,1288.0,1288.0,0.0,2.0,2.0,2.0,40.6846015,-73.8375055,1.0,B3,105.0,0.8133151761598443,1.859740502450207
4,9424,24,995000,11416.0,QN,1920.0,2400.0,2360.0,2360.0,0.0,2.0,2.0,2.0,40.6859056,-73.8358004,1.0,B2,105.0,0.7004294456138551,1.7337413758174787
4,9426,41,979000,11419.0,QN,1925.0,2400.0,1056.0,1056.0,0.0,2.0,2.0,2.0,40.6856204,-73.8341064,1.0,B3,100.0,0.6216838217388939,1.6769446665423258
4,9426,47,880000,11419.0,QN,1925.0,2300.0,1902.0,1902.0,0.0,2.0,2.0,2.0,40.6859088,-73.8342644,1.0,B2,100.0,0.623165048394801,1.6705699063972488
4,9427,30,875000,11419.0,QN,1920.0,2481.0,1720.0,1720.0,0.0,2.0,2.0,2.0,40.6863821,-73.833149,1.0,B2,105.0,0.5576541089102119,1.60461829348134
4,9429,14,675000,11419.0,QN,1920.0,2142.0,1908.0,1908.0,0.0,2.0,2.0,2.0,40.6876565,-73.8318441,1.0,B2,105.0,0.47184198155115054,1.4958034928485777
4,9430,17,999990,11419.0,QN,1920.0,3000.0,1920.0,1920.0,0.0,2.0,2.0,2.0,40.6876798,-73.8308922,1.0,B2,105.0,0.4222390214225534,1.4562317776327367
4,9430,20,999000,11419.0,QN,1960.0,3000.0,1568.0,1568.0,0.0,2.0,2.0,2.0,40.6875178,-73.8308132,1.0,B2,65.0,0.4200693133021392,1.4603146878828506
4,9430,56,885000,11419.0,QN,1920.0,2000.0,1472.0,1472.0,0.0,2.0,2.0,2.5,40.6872546,-73.8310735,1.0,B3,105.0,0.4371167899807997,1.482528253344904
4,9431,69,740000,11419.0,QN,1930.0,2500.0,1492.0,1492.0,0.0,2.0,2.0,2.5,40.6880031,-73.8304731,1.0,B3,95.0,0.3974561994645263,1.425018192991957
4,9432,48,865000,11419.0,QN,1925.0,1857.0,1556.0,1556.0,0.0,2.0,2.0,2.0,40.6873479,-73.8291803,1.0,B3,100.0,0.3391643730561187,1.4043011714256244
4,9433,34,815000,11419.0,QN,1920.0,1857.0,1344.0,1344.0,0.0,2.0,2.0,2.0,40.6875712,-73.8279898,1.0,B3,105.0,0.27486217947919783,1.3485367701453757
4,9434,53,499000,11419.0,QN,1910.0,1840.0,1122.0,1122.0,0.0,2.0,2.0,2.0,40.6928057,-73.8299704,1.0,B3,115.0,0.46799012102106563,1.2150491473102245
4,9437,8,988000,11419.0,QN,1910.0,1800.0,3300.0,1200.0,1200.0,2.0,3.0,2.0,40.6936934,-73.8270761,4.0,S2,115.0,0.41147519898250395,1.0525682358884871
4,9438,46,725000,11419.0,QN,1910.0,4306.0,2837.0,2837.0,0.0,2.0,2.0,2.75,40.6934752,-73.8261751,1.0,B3,115.0,0.37513024806209994,1.0196385096090435
4,9449,44,820000,11419.0,QN,1935.0,2500.0,1228.0,1228.0,0.0,2.0,2.0,2.5,40.695888,-73.8156855,1.0,B3,90.0,0.6295512582859825,0.4867726380721772
4,9460,13,1150000,11419.0,QN,1920.0,4603.0,2026.0,2026.0,0.0,2.0,2.0,2.5,40.6913073,-73.8246662,1.0,B2,105.0,0.20561601049453151,1.0449678910705231
4,9465,18,770830,11419.0,QN,1920.0,4003.0,2421.0,2421.0,0.0,2.0,2.0,2.75,40.6918156,-73.8214375,1.0,B2,105.0,0.23354095672333458,0.8981619535077027
4,9478,3,1625000,11419.0,QN,1920.0,5042.0,4353.0,4353.0,0.0,2.0,2.0,2.0,40.6952849,-73.8161127,1.0,B3,105.0,0.5828228777799004,0.5331132930986486
4,9484,53,999900,11419.0,QN,1910.0,3713.0,2257.0,2257.0,0.0,2.0,2.0,2.5,40.6881005,-73.8276639,1.0,B3,115.0,0.2504540849379469,1.3107681423114228
4,9486,39,975000,11419.0,QN,1960.0,1853.0,1880.0,1880.0,0.0,2.0,2.0,2.0,40.6880724,-73.8254247,1.0,B1,65.0,0.13598047615171852,1.2301970389263
4,9488,16,900000,11419.0,QN,1950.0,2503.0,1690.0,1690.0,0.0,2.0,2.0,2.0,40.6898817,-73.8239668,1.0,B1,75.0,0.10146126885224485,1.0865206973216617
